id,comment,territory
173,"É uma pouca vergonha o estado das galerias de esgoto aqui. anteontem a tubulação começou a vazar bem perto do Planetário da Gávea, e o mau cheiro tá insuportável na rua inteira. um rapaz que estuda na PUC já ligou pro 1746 reclamando, mas ninguém aparece. Descaso total da prefeitura com o IPTU caro que a gente paga.",asfalto
174,"Falta de vaga em creche municipal aqui dentro da comunidade é um absurdo que prejudica as mães. um morador antigo aqui do beco tá desempregada porque não tem com quem deixar o bebê, já que a creche perto de na subida da passarela de acesso, tá superlotada e sem previsão de novas vagas. A prefeitura precisa expandir a rede.",favela
175,"Nossos jovens tão sem perspectiva porque as escolas públicas da comunidade tão abandonadas. Falta professor de matemática e inglês direto. em plena luz do dia ontem o filho de minha irmã com o carrinho de bebê ficou sem aula e voltou pra casa cedo. Sem educação de qualidade, como que as crianças da favela vão vencer na vida? Desse jeito o posto de saúde vai continuar lotado de gente doente com infecção.",comunidade
176,"A infraestrutura básica passou longe das viela daqui da favela. na escadaria principal da comunidade,, o acesso é péssimo, sem pavimentação adequada, cheio de valas e lodo acumulado que faz as pessoas escorregarem. eu mesmo com pressa pro serviço idoso tem muita dificuldade de sair de casa. Falta pavimentação e acessibilidade.",comunidade
177,"A situação da segurança aqui dentro tá muito complicada e tensa. logo cedo na segunda-feira teve operação e correria bem perto da associação de moradores,, deixando os moradores apavorados dentro de casa. um grupo de estudantes daqui ficou preso sem conseguir descer pro trabalho. Falta uma política de segurança que respeite quem mora aqui na favela.",comunidade
178,"A coleta de lixo aqui dentro não funciona direito e o povo acaba jogando os sacos nas encostas ou perto de na Viela da Paz, subindo as escadas,. no final da tarde de quinta acumulou tanta sujeira que tampou a passagem do beco. minha filha mais nova se preocupa com as doenças, o valão tá transbordando e ninguém limpa essa imundície. Fora o transporte público que demora horas pra passar e nos deixa mofando no ponto com medo.",favela
179,"Os buracos na pista tão acabando com os carros dos moradores. na calçada da Rua Artur Araripe, tem uma cratera aberta que tá causando acidentes graves. durante o temporal de ontem um motoqueiro quase se acidentou feio. meu vizinho da frente, o Seu Jorge, já abriu vários chamados no 1746 mas eles só jogam uma terra que sai na primeira chuvinha.",asfalto
180,"A gente vive com medo de sair de casa à noite. Aqui perto de perto do mirante do Alto da Gávea,, os assaltos são constantes e violentos. no meio da semana passada teve correria perto do ponto de ônibus. É um trauma pro uma vizinha nossa, a Dona Maria, e pra todo mundo que mora aqui no asfalto. Cadê o Segurança Presente que tanto prometeram?",alto da gávea
181,"Ir no posto de saúde da Gávea é passar nervoso. Fui levar meu marido voltando do trabalho ontem de noite e o atendimento tava parado por falta de médico. A gente que mora no morro tem que descer de madrugada, pegar chuva na fila pra ouvir que não tem vaga. Saúde pública aqui tá largada às traças. A prefeitura diz na televisão que faz obra mas a verdade é que o descaso continua igual por aqui.",favela
182,"As vans que sobem o morro cobram caro e andam correndo igual loucas pelas subidas estreitas, um perigo. meu filho adolescente quase sofreu um acidente na semana passada perto de perto do ponto final das vans lá em cima, porque o motorista tava disputando passageiro com outra van. Falta fiscalização pesada do transporte alternativo aqui dentro.",favela
183,"A subprefeitura da Zona Sul não bota os pés aqui dentro da comunidade pra ver nossa realidade. Ignoram o esgoto, a falta de luz nas vielas e o perigo nas encostas perto de nas vielas apertadas perto do CIEP,. minha mãe idosa diz que o morador tá abandonado e tem que resolver tudo por conta própria através de mutirão.",favela
184,"Falta saneamento básico e vergonha na cara das autoridades. no Beco do Rato, na parte mais alta, tá cheio de esgoto vazando direto e as crianças brincam do lado da sujeira. uma senhora de idade que mora aqui perto tá com o filho internado no posto com infecção por causa disso. É desumano viver desse jeito sem rede de esgoto adequada nas vielas. É uma falta de respeito tremenda com quem paga imposto caro todo mês e não vê retorno.",favela
185,"As escadarias e vielas da comunidade tão caindo aos pedaços de tão velhas. Os degraus tão todos quebrados e não tem um corrimão sequer, o que é um perigo imenso em dia de chuva. um rapaz que estuda na PUC escorregou e machucou o braço anteontem subindo na Viela da Paz, subindo as escadas,. Precisamos de reformas urgentes.",favela
186,"A iluminação pública tá uma vergonha nessa área residencial. na calçada da Rua Artur Araripe, tá com várias lâmpadas queimadas nos postes há semanas, deixando a rua num breu completo. um morador antigo aqui do beco tem medo de voltar do trabalho de noite. É um perigo danado, a Rioluz precisa fazer a manutenção urgente.",asfalto
187,"Não há transparência nem participação popular nas decisões sobre as obras feitas no bairro. Gastam rios de dinheiro público em intervenções estéticas desnecessárias no asfalto perto de perto do mirante do Alto da Gávea, enquanto falta o básico. minha irmã com o carrinho de bebê cobra mais diálogo e fiscalização rigorosa dos gastos municipais. Até a escola da garotada fica prejudicada com essa buraqueira toda que impede o acesso.",alto da gávea
188,"A gente vive com medo de sair de casa à noite. Aqui perto de nas imediações das mansões residenciais,, os assaltos são constantes e violentos. já faz uns três dias teve correria perto do ponto de ônibus. É um trauma pro eu mesmo com pressa pro serviço e pra todo mundo que mora aqui no asfalto. Cadê o Segurança Presente que tanto prometeram?",alto da gávea
189,"Não dá mais pra aguentar a falta de segurança. logo cedo na segunda-feira, um grupo de estudantes daqui foi abordado por dois caras de moto bem na curva perigosa perto da descida pra o São Conrado,. Levaram o celular e a carteira, deixando todo mundo assustado. A polícia sumiu da região, ficamos desprotegidos. É uma revolta ver o bairro abandonado assim, parece que a prefeitura esqueceu da gente.",alto da gávea
190,"A iluminação pública tá uma vergonha nessa área residencial. na Rua Marquês de São Vicente, bem perto da PUC, tá com várias lâmpadas queimadas nos postes há semanas, deixando a rua num breu completo. minha filha mais nova tem medo de voltar do trabalho de noite. É um perigo danado, a Rioluz precisa fazer a manutenção urgente. Nem o Parque da Cidade escapa desse abandono generalizado que tomou conta do nosso bairro.",asfalto
191,"Falta iluminação nos becos mais internos da comunidade. Caminhar por aqui de noite é um desafio de sobrevivência porque tá tudo no escuro completo. no Beco do Rato, na parte mais alta,, os moradores vivem com medo de assalto e queda. meu vizinho da frente, o Seu Jorge, comprou lâmpada do próprio bolso pra colocar no beco.",favela
192,"Falta saneamento básico e vergonha na cara das autoridades. na Viela da Paz, subindo as escadas, tá cheio de esgoto vazando direto e as crianças brincam do lado da sujeira. uma vizinha nossa, a Dona Maria, tá com o filho internado no posto com infecção por causa disso. É desumano viver desse jeito sem rede de esgoto adequada nas vielas.",favela
193,"O risco de deslizamento de barreira tira o sono de qualquer morador. Toda vez que começa a chover forte, meu marido voltando do trabalho fica acordado a noite toda vigiando a encosta perto de perto do valão de esgoto principal,. A Geo-Rio precisa fazer uma obra de contenção de encostas urgente ali antes que aconteça uma tragédia. E pra piorar tudo, as calçadas tão todas quebradas, um perigo de queda pros idosos.",favela
194,"A insegurança aqui tá um absurdo total. Ninguém consegue mais andar tranquilo perto do Planetário da Gávea, depois das sete da noite porque o policiamento preventivo sumiu. meu filho adolescente já cansou de ver assalto perto dos prédios. Precisamos de patrulhamento urgente e iluminação de verdade pra afastar esses criminosos.",asfalto
195,"Muitos prédios antigos no asfalto tão sofrendo com a falta de manutenção externa e fiação velha, e a prefeitura não ajuda com nenhum tipo de incentivo. minha mãe idosa comenta que morar na Gávea virou sinônimo de pagar IPTU abssurdo pra não ter nenhum apoio habitacional ou urbanístico.",asfalto
196,"A falta de segurança viária e policiamento no entorno das escolas preocupa muito. no cruzamento principal perto do posto de combustível,, o trânsito é caótico na hora da saída dos alunos e os carros não respeitam a faixa. uma senhora de idade que mora aqui perto reclama que falta sinalização adequada e presença da guarda municipal pra proteger as crianças. E a iluminação dos postes sumiu nessa parte, virando um breu danado propício pra assaltos.",asfalto
197,"Ir no posto de saúde da Gávea é passar nervoso. Fui levar um rapaz que estuda na PUC anteontem e o atendimento tava parado por falta de médico. A gente que mora no morro tem que descer de madrugada, pegar chuva na fila pra ouvir que não tem vaga. Saúde pública aqui tá largada às traças.",comunidade
198,"A fiação elétrica aqui tá um perigo absurdo, um emaranhado de fios soltos e baixos passando na cabeça da gente. no Beco do Rato, na parte mais alta,, os cabos tão quase tocando o chão das viela. um morador antigo aqui do beco tem medo de um curto-circuito ou incêndio grave. A Light e a prefeitura precisam ordenar esse caos.",favela
199,"O posto de saúde tá sempre lotado e faltam especialistas como pediatra e ginecologista. minha irmã com o carrinho de bebê tá tentando marcar uma consulta há mais de quatro meses e nada. em plena luz do dia ontem disseram que o sistema do Sisreg caiu. É uma falta de respeito enorme com quem mora na comunidade. Desse jeito o posto de saúde vai continuar lotado de gente doente com infecção.",favela
200,"Falta planejamento e manutenção da infraestrutura urbana na Gávea. No entorno de na calçada da Rua Artur Araripe,, as calçadas são estreitas, quebradas e cheias de obstáculos, fora a fiação aérea pesada que parece que vai cair. eu mesmo com pressa pro serviço que anda por aqui todo dia vê o completo abandono do asfalto.",asfalto
201,"A prefeitura e a subprefeitura só lembram que os moradores da Gávea existem em ano de eleição. Aparecem políticos prometendo mundos e fundos aqui em perto do mirante do Alto da Gávea,. Depois que são eleitos, somem e os problemas continuam os mesmos. um grupo de estudantes daqui tá cansado dessas falsas promessas de campanha.",alto da gávea
202,"A coleta de lixo aqui dentro não funciona direito e o povo acaba jogando os sacos nas encostas ou perto de na subida da passarela de acesso,. no final da tarde de quinta acumulou tanta sujeira que tampou a passagem do beco. minha filha mais nova se preocupa com as doenças, o valão tá transbordando e ninguém limpa essa imundície. Fora o transporte público que demora horas pra passar e nos deixa mofando no ponto com medo.",favela
203,"A mobilidade pra quem mora no alto da comunidade é péssima. Não tem linha de ônibus integrada que funcione de verdade. meu vizinho da frente, o Seu Jorge, que trabalha até tarde gasta uma fortuna com mototáxi pra conseguir chegar em casa perto do ponto final das vans lá em cima, com segurança. Um absurdo essa falta de opção.",favela
204,"A gente vive com medo de sair de casa à noite. Aqui perto de na Rua Marquês de São Vicente, bem perto da PUC,, os assaltos são constantes e violentos. no meio da semana passada teve correria perto do ponto de ônibus. É um trauma pro uma vizinha nossa, a Dona Maria, e pra todo mundo que mora aqui no asfalto. Cadê o Segurança Presente que tanto prometeram?",asfalto
205,"O custo de moradia na Gávea virou uma loucura completa e inacessível. Os aluguéis tão num valor abusivo por causa da especulação imobiliária. meu marido voltando do trabalho mora aqui há mais de dez anos perto de perto da entrada do Parque da Cidade, e agora tá sendo obrigado a se mudar porque não aguenta mais pagar tão caro por um espaço pequeno. A prefeitura diz na televisão que faz obra mas a verdade é que o descaso continua igual por aqui.",alto da gávea
206,"A fiação elétrica aqui tá um perigo absurdo, um emaranhado de fios soltos e baixos passando na cabeça da gente. na Viela da Paz, subindo as escadas,, os cabos tão quase tocando o chão das vielas. meu filho adolescente tem medo de um curto-circuito ou incêndio grave. A Light e a prefeitura precisam ordenar esse caos.",favela
207,"As vans e ônibus que circulam pelo bairro andam em velocidade absurda e perigosa. minha mãe idosa pegou uma condução dessas na última terça-feira perto de no trecho mais alto e escuro da via, e ficou apavorado com a imprudência. Precisamos de fiscalização rigorosa da guarda municipal e mais linhas de ônibus regulares.",alto da gávea
208,"O entorno do CIEP tá largado ao abandonono total. na localidade conhecida como Grota,, o mato tá alto atraindo bixo e falta iluminação na passarela de acesso dos alunos. uma senhora de idade que mora aqui perto morador antigo diz que de noite o lugar fica perigoso demais, propício pra assalto. Precisamos de melhorias e segurança pra comunidade escolar. É uma falta de respeito tremenda com quem paga imposto caro todo mês e não vê retorno.",favela
209,"O risco de deslizamento de barreira tira o sono de qualquer morador. Toda vez que começa a chover forte, um rapaz que estuda na PUC fica acordado a noite toda vigiando a encosta perto de na área baixa perto do canal,. A Geo-Rio precisa fazer uma obra de contenção de encostas urgente ali antes que aconteça uma tragédia.",comunidade
210,"A coleta de lixo aqui dentro não funciona direito e o povo acaba jogando os sacos nas encostas ou perto de perto do ponto final das vans lá em cima,. no último sábado de madrugada acumulou tanta sujeira que tampou a passagem do beco. um morador antigo aqui do beco se preocupa com as doenças, o valão tá transbordando e ninguém limpa essa imundície.",favela
211,"O acúmulo de lixo nas calçadas da Gávea tá atraindo muito bicho e barata. na subida da Estrada da Gávea,, os sacos de lixo ficam amontoados porque a coleta tá passando fora do horário comercial. minha irmã com o carrinho de bebê já viu ratazana enorme correndo perto dos pedestres. Uma falta de higiene terrível num bairro desses. Até a escola da garotada fica prejudicada com essa buraqueira toda que impede o acesso.",alto da gávea
212,"A falta de segurança viária e policiamento no entorno das escolas preocupa muito. nos arredores da Praça Santos Dumont, no Baixo Gávea,, o trânsito é caótico na hora da saída dos alunos e os carros não respeitam a faixa. eu mesmo com pressa pro serviço reclama que falta sinalização adequada e presença da guarda municipal pra proteger as crianças.",asfalto
213,"O risco de deslizamento de barreira tira o sono de qualquer morador. Toda vez que começa a chover forte, um grupo de estudantes daqui fica acordado a noite toda vigiando a encosta perto de na Travessa do Sol, área residencial,. A Geo-Rio precisa fazer uma obra de contenção de encostas urgente ali antes que aconteça uma tragédia.",comunidade
214,"A fiação elétrica aqui tá um perigo absurdo, um emaranhado de fios soltos e baixos passando na cabeça da gente. perto do valão de esgoto principal,, os cabos tão quase tocando o chão das vielas. minha filha mais nova tem medo de um curto-circuito ou incêndio grave. A Light e a prefeitura precisam ordenar esse caos. Nem o Parque da Cidade escapa desse abandono generalizado que tomou conta do nosso bairro.",favela
215,"Um absurdo completo o atendimento de saúde pública na nossa zona. durante o temporal de ontem, meu vizinho da frente, o Seu Jorge, passou muito mal com febre alta e ficamos horas esperando atendimento médico no posto da Gávea. Os profissionais trabalham sobrecarregados e faltam insumos básicos. A prefeitura precisa investir sério.",asfalto
216,"Os pontos de ônibus perto de na área baixa perto do canal, tão abandonados, sem cobertura nenhuma contra chuva ou sol e totalmente escuros de noite. uma vizinha nossa, a Dona Maria, fica exposto ao perigo e ao tempo esperando condução que nunca passa no horário certo. Transporte de qualidade é um direito nosso.",comunidade
217,"Conseguir vaga na creche pública aqui na região é quase impossível, uma fila de espera eterna no sistema. Estou com meu marido voltando do trabalho sem estudar porque nunca tem vaga disponível nas creches perto de no cruzamento principal perto do posto de combustível,. As mães trabalhadoras precisam desse suporte urgente pra poder trabalhar em paz. E pra piorar tudo, as calçadas tão todas quebradas, um perigo de queda pros idosos.",asfalto
218,"A iluminação pública tá uma vergonha nessa área residencial. na Rua Marquês de São Vicente, bem perto da PUC, tá com várias lâmpadas queimadas nos postes há semanas, deixando a rua num breu completo. meu filho adolescente tem medo de voltar do trabalho de noite. É um perigo danado, a Rioluz precisa fazer a manutenção urgente.",asfalto
219,"A mobilidade pra quem mora no alto da comunidade é péssima. Não tem linha de ônibus integrada que funcione de verdade. minha mãe idosa que trabalha até tarde gasta uma fortuna com mototáxi pra conseguir chegar em casa perto da associação de moradores, com segurança. Um absurdo essa falta de opção.",comunidade
220,"Falta planejamento e manutenção da infraestrutura urbana na Gávea. No entorno de em frente ao Shopping da Gávea,, as calçada são estreitas, quebradas e cheias de obstáculos, fora a fiação aérea pesada que parece que vai cair. uma senhora de idade que mora aqui perto que anda por aqui todo dia vê o completo abandono do asfalto. E a iluminação dos postes sumiu nessa parte, virando um breu danado propício pra assaltos.",asfalto
221,"As escadarias e vielas da comunidade tão caindo aos pedaços de tão velhas. Os degraus tão todos quebrados e não tem um corrimão sequer, o que é um perigo imenso em dia de chuva. um rapaz que estuda na PUC escorregou e machucou o braço anteontem subindo perto do valão de esgoto principal,. Precisamos de reformas urgentes.",favela
222,"Toda vez que cai uma chuva mais forte, as ruas da Gávea alagam por causa dos bueiros entupidos. no último sábado de madrugada, a água da chuva acumulou tanto perto do Planetário da Gávea, que cobriu as calçadas e quase invadiu os comércios. um morador antigo aqui do beco teve o carro danificado. A Comlurb precisa limpar essas bocas de lobo urgente.",asfalto
223,"Um absurdo a truculência nas abordagens policiais aqui na comunidade. em plena luz do dia ontem, minha irmã com o carrinho de bebê foi parado voltando do serviço bem na subida da passarela de acesso, e os policiais já chegaram esculachando, tratando como suspeito. A gente quer segurança, mas quer respeito também, porque trabalhador não é bandido. Desse jeito o posto de saúde vai continuar lotado de gente doente com infecção.",favela
224,"Falta saneamento básico e vergonha na cara das autoridades. perto do ponto final das vans lá em cima, tá cheio de esgoto vazando direto e as crianças brincam do lado da sujeira. eu mesmo com pressa pro serviço tá com o filho internado no posto com infecção por causa disso. É desumano viver desse jeito sem rede de esgoto adequada nas vielas.",favela
225,"O custo de moradia na Gávea virou uma loucura completa e inacessível. Os aluguéis tão num valor abusivo por causa da especulação imobiliária. um grupo de estudantes daqui mora aqui há mais de dez anos perto de na subida da Estrada da Gávea, e agora tá sendo obrigado a se mudar porque não aguenta mais pagar tão caro por um espaço pequeno.",alto da gávea
226,"A coleta de lixo aqui dentro não funciona direito e o povo acaba jogando os sacos nas encostas ou perto de no Beco do Rato, na parte mais alta,. no final da tarde de quinta acumulou tanta sujeira que tampou a passagem do beco. minha filha mais nova se preocupa com as doenças, o valão tá transbordando e ninguém limpa essa imundície. Fora o transporte público que demora horas pra passar e nos deixa mofando no ponto com medo.",favela
227,"Um absurdo completo o atendimento de saúde pública na nossa zona. durante o temporal de ontem, meu vizinho da frente, o Seu Jorge, passou muito mal com febre alta e ficamos horas esperando atendimento médico no posto da Gávea. Os profissionais trabalham sobrecarregados e faltam insumos básicos. A prefeitura precisa investir sério.",asfalto
228,"A infraestrutura básica passou longe das vielas daqui da favela. perto do valão de esgoto principal,, o acesso é péssimo, sem pavimentação adequada, cheio de valas e lodo acumulado que faz as pessoas escorregarem. uma vizinha nossa, a Dona Maria, idoso tem muita dificuldade de sair de casa. Falta pavimentação e acessibilidade.",favela
229,"O Parque da Cidade, que deveria ser um espaço de lazer maravilhoso na Gávea, tá abandonado pelo poder público. Mato altíssimo, brinquedos do parquinho enferrujados e quebrados, e lixo espalhado. meu marido voltando do trabalho foi lá com a família ontem de noite e ficou indignado com o descaso total com a nossa área verde. A prefeitura diz na televisão que faz obra mas a verdade é que o descaso continua igual por aqui.",alto da gávea
230,"A iluminação pública tá uma vergonha nessa área residencial. na Rua Vice-Governador Rubens Berardo, tá com várias lâmpadas queimadas nos postes há semanas, deixando a rua num breu completo. meu filho adolescente tem medo de voltar do trabalho de noite. É um perigo danado, a Rioluz precisa fazer a manutenção urgente.",asfalto
231,"Prometeram regularização fundiária pra nossa comunidade há anos, disseram que a gente ia ter o documento da casa própria, mas ficou só na promessa vazia. minha mãe idosa investiu o dinheiro da vida toda construindo sua moradia perto de perto do ponto final das vans lá em cima, e vive com a insegurança de ser despejado.",favela
232,"Minha reclamação é sobre a dificuldade de conseguir atendimento de emergência na área. esses dias atrás precisamos de socorro urgente pra uma senhora de idade que mora aqui perto, mas a ambulância demorou horas pra chegar aqui na subida da Estrada da Gávea,. O posto de saúde vive superlotado e sem médicos suficientes pra a demanda absurda. É uma falta de respeito tremenda com quem paga imposto caro todo mês e não vê retorno.",alto da gávea
233,"A saúde aqui na região tá um caos absoluto. Fui levar um rapaz que estuda na PUC no posto de saúde da Gávea anteontem e não tinha nenhum clínico de plantão. Uma fila imensa dobrava o quarteirão desde a madrugada e de manhã disseram que as senhas tinham acabado. É humilhante ver o trabalhador sofrendo assim.",asfalto
234,"Toda vez que cai uma chuva mais forte, as ruas da Gávea alagam por causa dos bueiros entupidos. no último sábado de madrugada, a água da chuva acumulou tanto em frente ao Shopping da Gávea, que cobriu as calçadas e quase invadiu os comércios. um morador antigo aqui do beco teve o carro danificado. A Comlurb precisa limpar essas bocas de lobo urgente.",asfalto
235,"O posto de saúde tá sempre lotado e faltam especialistas como pediatra e ginecologista. minha irmã com o carrinho de bebê tá tentando marcar uma consulta há mais de quatro meses e nada. em plena luz do dia ontem disseram que o sistema do Sisreg caiu. É uma falta de respeito enorme com quem mora na comunidade. Até a escola da garotada fica prejudicada com essa buraqueira toda que impede o acesso.",comunidade
236,"A gente vive no meio do fogo cruzado e ninguém faz nada por nós. já faz uns três dias teve tiroteio perto do CIEP e eu mesmo com pressa pro serviço teve que correr pra se proteger dentro do beco. As crianças ficam traumatizadas e perdem aula direta. Segurança pra nós da comunidade é artigo de luxo pelo visto.",favela
237,"O risco de deslizamento de barreira tira o sono de qualquer morador. Toda vez que começa a chover forte, um grupo de estudantes daqui fica acordado a noite toda vigiando a encosta perto de na área baixa perto do canal,. A Geo-Rio precisa fazer uma obra de contenção de encostas urgente ali antes que aconteça uma tragédia.",comunidade
238,"A mobilidade urbana na Gávea tá caótica por causa do trânsito intenso e do estacionamento irregular de veículos. no cruzamento principal perto do posto de combustível,, os carros param em cima das calçadas e bloqueiam tudo, obrigando o pedestre a andar no meio da rua. minha filha mais nova que anda com idoso sofre demais com isso. Nem o Parque da Cidade escapa desse abandono generalizado que tomou conta do nosso bairro.",asfalto
239,"Olha, a situação da segurança tá caótica na Gávea. na Rua Marquês de São Vicente, bem perto da PUC, virou ponto fixo de bandido assaltando quem sai do trabalho ou da faculdade. durante o temporal de ontem teve mais um roubo de celular violento. meu vizinho da frente, o Seu Jorge, tentou acionar os policiais mas a viatura demorou uma eternidade pra chegar.",asfalto
240,"Falta saneamento básico e vergonha na cara das autoridades. no Beco do Rato, na parte mais alta, tá cheio de esgoto vazando direto e as crianças brincam do lado da sujeira. uma vizinha nossa, a Dona Maria, tá com o filho internado no posto com infecção por causa disso. É desumano viver desse jeito sem rede de esgoto adequada nas vielas.",favela
241,"A situação da segurança aqui dentro tá muito complicada e tensa. ontem de noite teve operação e correria bem na Travessa do Sol, área residencial,, deixando os moradores apavorados dentro de casa. meu marido voltando do trabalho ficou preso sem conseguir descer pro trabalho. Falta uma política de segurança que respeite quem mora aqui na favela. E pra piorar tudo, as calçadas tão todas quebradas, um perigo de queda pros idosos.",comunidade
242,"O posto de saúde da Gávea tá sem o mínimo de estrutura pra atender o bairro. meu filho adolescente precisava de remédio de uso contínuo pra pressão e disseram que tá em falta na farmácia do posto faz dois meses. Pra marcar um exame simples pelo Sisreg é uma novela que demora quase um ano, descaso total.",alto da gávea
243,"O acúmulo de lixo nas calçadas da Gávea tá atraindo muito bicho e barata. perto do Planetário da Gávea,, os sacos de lixo ficam amontoados porque a coleta tá passando fora do horário comercial. minha mãe idosa já viu ratazana enorme correndo perto dos pedestres. Uma falta de higiene terrível num bairro desses.",asfalto
244,"A gente vive com medo de sair de casa à noite. Aqui perto de na Rua Vice-Governador Rubens Berardo,, os assaltos são constantes e violentos. esses dias atrás teve correria perto do ponto de ônibus. É um trauma pro uma senhora de idade que mora aqui perto e pra todo mundo que mora aqui no asfalto. Cadê o Segurança Presente que tanto prometeram? E a iluminação dos postes sumiu nessa parte, virando um breu danado propício pra assaltos.",asfalto
245,"Ir no posto de saúde da Gávea é passar nervoso. Fui levar um rapaz que estuda na PUC anteontem e o atendimento tava parado por falta de médico. A gente que mora no morro tem que descer de madrugada, pegar chuva na fila pra ouvir que não tem vaga. Saúde pública aqui tá largada às traças.",favela
246,"Na comunidade a gente sofre quando alguém passa mal. no último sábado de madrugada, um morador antigo aqui do beco teve uma crise forte e a ambulância do Samu se recusou a subir nas vielas apertadas perto do CIEP, alegando falta de segurança. Tivemos que carregar ele no braço até o asfalto. O posto de saúde também nunca tem remédio básico.",favela
247,"A subprefeitura da Zona Sul não bota os pés aqui dentro da comunidade pra ver nossa realidade. Ignoram o esgoto, a falta de luz nas vielas e o perigo nas encostas perto de no Beco do Rato, na parte mais alta,. minha irmã com o carrinho de bebê diz que o morador tá abandonado e tem que resolver tudo por conta própria através de mutirão. Desse jeito o posto de saúde vai continuar lotado de gente doente com infecção.",favela
248,"A especulação imobiliária tá destruindo a identidade do bairro residencial. Estão derrubando casas históricas perto de em frente ao Shopping da Gávea, pra construir prédios enormes de luxo. eu mesmo com pressa pro serviço acha um absurdo essa verticalização sem planejamento, que sobrecarrega o esgoto, a água e o trânsito local.",asfalto
249,"O risco de deslizamento de barreira tira o sono de qualquer morador. Toda vez que começa a chover forte, um grupo de estudantes daqui fica acordado a noite toda vigiando a encosta perto de perto do valão de esgoto principal,. A Geo-Rio precisa fazer uma obra de contenção de encostas urgente ali antes que aconteça uma tragédia.",favela
250,"As vans que sobem o morro cobram caro e andam correndo igual loucas pelas subidas estreitas, um perigo. minha filha mais nova quase sofreu um acidente no final da tarde de quinta perto de na localidade conhecida como Grota, porque o motorista tava disputando passageiro com outra van. Falta fiscalização pesada do transporte alternativo aqui dentro. Fora o transporte público que demora horas pra passar e nos deixa mofando no ponto com medo.",favela
251,"O posto de saúde tá sempre lotado e faltam especialistas como pediatra e ginecologista. meu vizinho da frente, o Seu Jorge, tá tentando marcar uma consulta há mais de quatro meses e nada. durante o temporal de ontem disseram que o sistema do Sisreg caiu. É uma falta de respeito enorme com quem mora na comunidade.",favela
252,"A gente vive com medo de sair de casa à noite. Aqui perto de no cruzamento principal perto do posto de combustível,, os assaltos são constantes e violentos. no meio da semana passada teve correria perto do ponto de ônibus. É um trauma pro uma vizinha nossa, a Dona Maria, e pra todo mundo que mora aqui no asfalto. Cadê o Segurança Presente que tanto prometeram?",asfalto
253,"As escadarias e vielas da comunidade tão caindo aos pedaços de tão velhas. Os degraus tão todos quebrados e não tem um corrimão sequer, o que é um perigo imenso em dia de chuva. meu marido voltando do trabalho escorregou e machucou o braço ontem de noite subindo nas viela apertadas perto do CIEP,. Precisamos de reformas urgentes. A prefeitura diz na televisão que faz obra mas a verdade é que o descaso continua igual por aqui.",favela
254,"Aqui nas vielas a segurança pública é quase nenhuma, só lembram da gente pra fazer operação violenta. no Beco do Rato, na parte mais alta, tá perigoso de andar de noite por falta de luz nos postes. meu filho adolescente já ouviu relato de assalto nos becos escuros. Queremos paz e policiamento comunitário de verdade.",favela
255,"Um absurdo a truculência nas abordagens policiais aqui na comunidade. na última terça-feira, minha mãe idosa foi parado voltando do serviço bem na Viela da Paz, subindo as escadas, e os policiais já chegaram esculachando, tratando como suspeito. A gente quer segurança, mas quer respeito também, porque trabalhador não é bandido.",favela
256,"Os pontos de ônibus perto de próximo ao pequeno comércio da subida, tão abandonados, sem cobertura nenhuma contra chuva ou sol e totalmente escuros de noite. uma senhora de idade que mora aqui perto fica exposto ao perigo e ao tempo esperando condução que nunca passa no horário certo. Transporte de qualidade é um direito nosso. É uma falta de respeito tremenda com quem paga imposto caro todo mês e não vê retorno.",comunidade
257,"O esgoto correndo a céu aberto aqui na comunidade é uma humilhação diária. anteontem o cano estourou bem na localidade conhecida como Grota, e tá aquela lama podre passando na porta de casa. um rapaz que estuda na PUC tá limpando tudo sozinho porque a prefeitura não manda ninguém da Cedae ou da Comlurb. Rato e barata tomando conta de tudo.",favela
258,"A iluminação pública tá uma vergonha nessa área residencial. na Rua Vice-Governador Rubens Berardo, tá com várias lâmpadas queimadas nos postes há semanas, deixando a rua num breu completo. um morador antigo aqui do beco tem medo de voltar do trabalho de noite. É um perigo danado, a Rioluz precisa fazer a manutenção urgente.",asfalto
259,"Falta iluminação nos becos mais internos da comunidade. Caminhar por aqui de noite é um desafio de sobrevivência porque tá tudo no escuro completo. no beco que dá acesso à quadra de esporte,, os moradores vivem com medo de assalto e queda. minha irmã com o carrinho de bebê comprou lâmpada do próprio bolso pra colocar no beco. Até a escola da garotada fica prejudicada com essa buraqueira toda que impede o acesso.",comunidade
260,"O entorno do CIEP tá largado ao abandonono total. nas vielas apertadas perto do CIEP,, o mato tá alto atraindo bixo e falta iluminação na passarela de acesso dos alunos. eu mesmo com pressa pro serviço morador antigo diz que de noite o lugar fica perigoso demais, propício pra assalto. Precisamos de melhorias e segurança pra comunidade escolar.",favela
261,"O esgoto correndo a céu aberto aqui na comunidade é uma humilhação diária. logo cedo na segunda-feira o cano estourou bem perto da associação de moradores, e tá aquela lama podre passando na porta de casa. um grupo de estudantes daqui tá limpando tudo sozinho porque a prefeitura não manda ninguém da Cedae ou da Comlurb. Rato e barata tomando conta de tudo.",comunidade
